Zaman damgası,"Okul yemekhanesinin tatlı seçenekleri hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Yemeklerin lezzeti hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Okul yemekhanesinin uzaklığı sizi nasıl etkiliyor? (1: Çok olumsuz, 5: Hiç etkilemiyor)","Okul yemeklerinin fiyatları sizce uygun mu? (1: Çok pahalı, 5: Çok uygun)","Beyaz et ve kırmızı et seçeneklerinin lezzeti hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Beyaz et ve kırmızı etin menülerde çıkmak sıklığı hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Okul yemekhanesinde vegan seçeneği olsaydı, bu tür yemeklerin okul yemekhanesinde bulunmasını ne kadar olumlu bulursunuz?","Okul yemekhanesinin hijyen seviyesi hakkında nasıl bir değerlendirme yaparsınız? (1: Çok kötü, 5: Mükemmel)","Okul yemeklerindeki ürünlerin kalitesi hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Yemeklerin porsiyonları size göre yetersiz mi? (1: Çok yetersiz, 5: Çok yeterli)","Okul yemekhanesinin hizmet saatleri size uygun mu? (1: Çok uygun değil, 5: Çok uygun)","Okul yemekhanesinde içecek çeşitliliği yeterliği hakkında ne düşünüyorsunuz? (1: Çok uygun değil, 5: Çok uygun)","Okul yemekhanesinde içecek çeşitliliği yeterliği hakkında ne düşünüyorsunuz? (1: Çok uygun değil, 5: Çok uygun)","Okul yemekhanesinin sunulan yiyeceklerin çeşitliliği hakkında ne düşünüyorsunuz? (1: Çok az çeşitlilik, 5: Çok fazla çeşitlilik)","Okul yemekhanesinin çevresel sürdürülebilirlik önlemlerine ne kadar önem veriliyor? (1: Çok az , 5: Çok fazla)",Puan,E-posta Adresi
02.11.2023 17:04:50,2,2,1,3,1,3,1,4,1,3,3,2,2,2,1,,
02.11.2023 17:05:00,1,1,3,2,1,1,4,1,1,2,2,1,1,1,1,,
02.11.2023 17:06:03,2,3,4,3,3,2,3,3,2,2,3,1,1,3,3,,
02.11.2023 17:06:04,1,3,4,3,2,3,1,2,3,1,2,1,1,3,4,,
02.11.2023 17:06:55,3,2,1,4,4,3,1,3,2,5,4,1,1,3,3,,
02.11.2023 17:07:16,2,4,1,5,4,4,1,4,4,5,1,2,2,4,4,,
02.11.2023 17:09:12,3,4,5,3,3,4,3,4,4,2,3,3,3,3,3,,
02.11.2023 17:09:59,2,3,5,4,4,4,1,3,3,2,4,1,1,1,2,,
02.11.2023 17:13:16,4,3,2,4,4,4,1,3,4,5,4,1,1,3,5,,
02.11.2023 17:13:19,2,4,2,4,4,3,1,3,3,5,1,2,2,3,5,,
02.11.2023 17:17:41,1,3,1,4,2,4,3,4,3,3,4,3,3,3,3,,
02.11.2023 17:18:06,2,2,3,3,2,2,1,4,3,2,5,4,4,3,3,,
02.11.2023 17:19:03,1,4,5,3,3,3,3,3,3,1,4,4,3,3,2,,
02.11.2023 17:19:56,3,3,1,3,4,3,1,5,5,5,5,2,2,5,5,,
02.11.2023 17:19:57,4,5,1,4,4,5,2,3,4,5,4,5,2,4,4,,
02.11.2023 17:23:00,2,4,1,3,3,3,1,5,3,3,3,1,1,3,2,,
02.11.2023 17:24:16,1,1,5,3,2,2,4,3,2,2,4,2,2,2,4,,
02.11.2023 17:26:35,3,2,5,3,2,4,1,1,3,1,5,1,1,1,3,,
02.11.2023 17:26:42,1,1,1,2,1,1,1,4,1,3,4,1,1,1,3,,
02.11.2023 17:27:08,4,3,1,1,3,4,1,4,3,1,2,3,3,4,2,,
02.11.2023 17:29:09,2,2,2,2,4,2,1,4,2,2,5,1,1,3,4,,
02.11.2023 17:30:29,2,4,1,3,4,3,1,4,3,2,3,,3,2,3,,
02.11.2023 17:31:48,1,3,2,5,3,4,1,4,3,4,5,,2,2,5,,
02.11.2023 17:32:43,3,3,1,3,1,1,5,4,3,2,1,,1,2,3,,
02.11.2023 17:33:22,4,3,5,5,3,3,1,4,3,3,1,,1,3,5,,
02.11.2023 17:37:21,1,2,4,3,1,3,3,5,3,1,4,,2,2,1,,
02.11.2023 17:37:54,1,2,1,1,2,3,1,4,2,3,1,,1,2,4,,
02.11.2023 17:38:56,2,2,5,3,1,3,5,2,2,1,1,,1,3,3,,
02.11.2023 17:49:29,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,,
02.11.2023 17:51:00,4,3,3,3,3,5,2,4,3,3,3,,1,2,4,,
02.11.2023 17:51:39,3,4,5,4,4,4,1,4,4,5,5,,4,4,3,,
02.11.2023 17:53:17,2,2,3,1,2,3,1,1,1,1,2,,1,3,3,,
02.11.2023 17:56:32,4,2,3,5,3,5,1,4,2,3,4,,3,3,3,,
02.11.2023 18:02:43,3,2,5,4,4,4,1,2,3,3,2,,1,3,3,,
02.11.2023 18:07:02,3,4,5,4,4,5,1,4,4,4,5,,2,3,3,,
02.11.2023 18:11:12,4,3,4,2,2,3,1,2,2,2,3,,1,3,4,,
02.11.2023 18:24:30,3,2,5,4,3,4,3,4,2,4,4,,1,3,2,,
02.11.2023 18:32:10,4,4,2,4,5,4,1,4,4,3,2,,1,4,3,,
02.11.2023 18:37:29,3,4,4,3,3,3,3,4,3,4,2,,1,3,4,,
02.11.2023 18:41:24,3,3,2,4,4,2,3,3,3,3,3,,1,1,1,,
02.11.2023 18:41:54,1,1,5,3,1,1,1,5,2,1,4,,1,1,2,,
02.11.2023 19:00:14,4,2,4,1,2,3,1,3,3,5,4,,2,4,3,,
02.11.2023 19:15:00,1,2,4,1,3,2,1,3,1,2,5,,1,2,3,,
02.11.2023 19:23:49,4,3,5,4,3,4,1,2,3,5,4,,1,3,5,,
02.11.2023 19:26:35,1,2,1,3,2,3,1,3,1,3,2,,3,3,2,,
02.11.2023 19:26:37,1,1,1,3,1,3,1,3,1,1,2,,1,1,1,,
02.11.2023 19:29:27,3,3,2,2,3,3,1,3,3,3,1,,2,2,3,,
02.11.2023 19:29:41,2,2,1,5,3,3,3,3,3,4,5,,1,3,4,,
02.11.2023 19:50:03,2,4,1,5,4,4,4,5,4,4,4,,2,4,3,,
02.11.2023 19:57:13,1,1,1,1,1,1,5,5,1,1,1,,1,1,5,,
02.11.2023 20:08:46,3,5,2,5,5,3,3,5,5,2,5,,3,3,5,,
02.11.2023 20:12:48,1,1,1,1,1,1,3,1,1,1,1,,1,1,1,,
02.11.2023 21:15:11,3,3,5,3,2,3,3,3,3,3,3,,3,3,3,,
02.11.2023 21:47:12,4,4,5,5,2,5,1,5,4,5,5,,1,5,3,,
02.11.2023 22:42:46,2,3,4,4,3,1,2,2,2,3,1,,1,1,1,,
02.11.2023 22:50:36,1,4,2,4,4,4,2,4,4,2,1,,1,4,2,,
02.11.2023 22:56:18,4,4,4,2,4,5,5,3,4,5,4,,2,5,2,,
02.11.2023 23:27:02,1,4,3,4,3,2,3,4,3,3,5,,2,4,3,,
03.11.2023 00:40:25,1,3,1,5,2,5,1,5,5,5,5,,1,2,5,,
03.11.2023 10:12:39,3,2,3,4,3,3,2,3,3,4,2,,3,4,3,,
03.11.2023 10:31:52,3,4,4,5,4,3,5,4,4,4,5,,2,4,4,,
03.11.2023 10:39:54,2,3,4,5,4,4,3,5,5,3,5,,3,2,4,,
03.11.2023 12:41:34,2,1,5,5,1,2,5,3,1,3,5,,1,2,3,,
03.11.2023 13:30:24,3,3,2,3,3,3,2,2,2,4,3,,1,2,2,,
04.11.2023 13:28:00,4,5,5,3,5,4,1,4,4,4,5,,4,4,4,,
04.11.2023 18:28:06,2,3,5,4,3,2,4,3,3,5,4,,1,4,4,,
04.11.2023 19:12:25,5,4,3,3,4,4,4,4,4,3,5,,5,5,5,,
06.11.2023 00:16:12,3,4,1,3,5,3,5,5,5,4,1,,1,4,3,,
06.11.2023 00:18:12,5,5,2,5,5,5,1,5,5,5,4,,5,5,3,,
10.11.2023 22:07:23,2,4,1,5,4,5,1,3,4,1,4,,1,3,5,,
11.11.2023 03:28:51,3,3,3,3,3,2,2,3,3,3,2,,3,3,3,,
11.11.2023 23:59:05,4,4,5,5,5,4,1,4,4,5,2,,1,4,3,,
12.11.2023 12:37:27,2,4,3,3,3,3,3,4,4,5,4,,1,2,2,,
12.11.2023 17:26:45,2,1,3,5,1,4,5,4,3,4,5,,2,3,3,,
12.11.2023 17:27:47,3,3,5,4,4,3,5,4,4,4,5,,4,3,5,,
12.11.2023 17:31:41,2,4,2,3,3,2,1,3,3,3,4,,3,3,2,,
12.11.2023 18:02:00,4,3,2,5,4,4,2,5,5,5,2,,2,3,4,,
12.11.2023 18:29:15,1,3,1,2,3,3,1,2,2,2,3,,2,2,1,,
12.11.2023 18:30:56,2,4,4,3,3,5,3,4,4,5,4,,1,2,3,,
12.11.2023 20:55:14,2,4,1,5,4,4,5,5,4,5,5,,1,4,3,,
12.11.2023 21:47:27,4,5,1,3,4,4,3,4,5,4,2,,1,3,3,,
12.11.2023 21:57:29,2,4,3,4,5,4,5,4,5,4,5,,5,4,3,,
